filename	code	x_from	y_from	width	height
images/c234c76c-d72d-4d60-8066-e99f62361c1c--ru.a6a77966-14c1-49d8-bdd3-c9cbf12ae35d.jpg	4810153026194	210	542	279	143
images/0.jpg	8714100708408	216	474	409	308
images/77c7bd8d-bb64-4c4b-94c5-798a903eaa4d--ru.12f5929c-9d0e-49e5-9300-4aa2bd63bc51.jpg	4820240030508	173	657	589	293
images/5d60b81b-e31d-4530-bed1-27a8872d1f02--ru.53fed99f-fe97-435b-a4d4-57f1ed6d9f21.jpg	4607001770350	66	665	549	176
images/bb225480-a447-4232-85ab-ce22f1dec070--ru.09dd5220-73bc-4ca1-b42e-b6003ee8b311.jpg	4605035006964	269	592	448	247
images/6e042372-20ec-4a26-8340-3653cf0c681d--ru.407738ff-e321-4f6c-8a9d-d9c146d3d801.jpg	4690363095759	23	849	230	125
images/709c106e-41f8-4266-b22d-bcd8841a6aaf--ru.2da223e1-b4e2-4b5e-b38b-9abb2b7ebd61.jpg	4690326198893	169	164	522	166
images/3ffa7796-cc4b-4c00-9941-4c88464ac6ed--ru.97512ecb-b3e9-4fa8-b40b-8cc4f2bd7528.jpg	4606203103423	536	1875	1628	819
images/2502fbe4-a8f9-40c5-a502-3e15d2942e47--ru.a671844b-c029-4903-b4e1-d07141c5c577.jpg	7622201105716	301	445	513	345
images/48f946b1-7eef-4f59-8bd6-d39d48ea5eb2--ru.a6eb0b7e-85d5-42e7-9569-170a19ecff1e.jpg	4600433600615	252	266	534	318
images/ec62a12b-6b8f-4752-95a5-1befc9766a0f--ru.f839a614-5710-46b8-9be7-5311f3af1992.jpg	4670007360047	840	626	1955	1011
images/636f3011-ee46-4e5a-a86b-85e954b325b5--ru.fe802834-eca5-46b5-a009-0de7a6b30d96.jpg	4605496020035	200	255	518	340
images/90243654-a547-4fb0-bb8f-aa2d2b440a39--ru.af26012d-e018-4cd2-b926-ff9f951b7593.jpg	4600288020477	337	672	452	217
images/4edcaf5f-f7a8-41ab-9cf3-1ca8582e0f47--ru.10740536-06ff-4486-a124-b42a3cf3d81b.jpg	4630038960890	357	655	503	287
images/26ed90e2-9a8c-448f-a274-d93987c09757--ru.6cb4596a-2469-469e-a64e-5089bec9163a.jpg	4607051154063	354	614	464	177
images/d24a008b-f36e-4410-a58c-220144820192--ru.452ca2da-832a-459d-aaf8-8539306084a0.jpg	4620015853864	460	804	412	185
images/076870e1-2e05-40e5-a106-de2a4ea9077b--ru.30d3c8e3-f945-452d-8783-8505a6eb0a0e.jpg	4606088002286	74	1776	1222	401
images/8c2ddc37-abb2-410a-9b34-78f7b94666bd--ru.23e0d7c7-05e4-4045-ad3d-f5350492f11f.jpg	4604248000844	265	945	364	236
images/fe3cd088-6311-423c-9207-c438c51aa4f6--ru.c5197f00-662f-401e-8271-4418f70dcb52.jpg	4607003246273	316	1175	256	140
images/5f625b96-67ae-4000-9d1c-840f720e2897--ru.c5374577-05a3-457f-8c58-b5258c23e959.jpg	4630007400419	1107	784	1796	904
images/dd09fd7c-3cfa-4848-9508-f8ebbfde5ba4--ru.5a47f4b5-25e7-4010-8cc9-30c34fccdb71.jpg	4680295072904	108	1021	282	128
images/77c7bd8d-bb64-4c4b-94c5-798a903eaa4d--ru.12f5929c-9d0e-49e5-9300-4aa2bd63bc51.jpg	4820240030508	173	657	589	293
images/84d82001-d612-4f61-8097-9ef6a68850c7--ru.564c52cb-4b06-452f-9261-1bdfdd5e7cd6.jpg	4605246010651	172	1078	718	390
images/92cdb08d-25ab-489f-ace4-68e11958d93b--ru.19fc5d60-ba81-49ef-b740-d78531814115.jpg	4601669000675	141	429	627	280
images/b10353bc-dae8-4d42-a6cc-94283b40a3b7--ru.24544306-09e5-4e21-a408-e7c3510448fc.jpg	4602481104473	228	725	477	334
images/9f1aed2e-c1ea-4efa-9f7c-167317294762--ru.2e41472c-cced-439c-80ea-800183c6a23c.jpg	4603933007458	144	688	357	152
images/b3fdc9d8-73c0-403d-b131-6806899bf1f0--ru.bf5e5c7e-8255-4b5c-9554-f89d54092323.jpg	4606949066204	70	951	648	272
images/ddaeb3d0-5e34-44bb-afae-ff94a161e90f--ru.06c5c745-3173-47eb-8e3c-568dfd520ebb.jpg	4751008082548	259	416	507	146
images/e691c8b4-d555-48d8-aaea-988beda82196--ru.4a267680-e47e-4485-988a-321cdc1b873e.jpg	8594739227040	783	1037	1442	794
images/0d5785e8-556b-4188-b069-5b02a8f110b0--ru.4e9f684e-e918-4960-aa95-df3583e53b5f.jpg	4605362006217	492	2243	1124	416
images/ff74e444-8bcc-46b2-b137-8c4064766028--ru.c2da344f-29b3-4b44-858c-ee6a730a4e64.jpg	4605246015489	224	119	390	206
images/79e4257c-49d5-46e1-8b8b-72755209792f--ru.036db7d8-e87e-41e4-a71d-30cf8c73264c.jpg	4860102580369	253	309	412	273
images/28cd7993-cf01-46a8-8460-d921db840454--ru.f3399317-0b95-4e7c-8f2c-019f157c3f0f.jpg	4820088550077	138	711	735	363
images/56ec454c-78db-49e4-946d-a1ab8bb65574--ru.d3a706a8-9162-4881-a737-f699218f7cf7.jpg	4620015850252	232	877	660	280
images/788fb7f3-e813-4754-874f-3cc6eb19113d--ru.265581a1-33c3-486e-b9e8-0fc5d4818e42.jpg	4607012296658	322	632	344	145
images/6203be59-fb5c-4167-8dd6-99cbb1981a66--ru.7a7d5749-0281-4b2a-9bf0-d49a7c481f85.jpg	4606272035465	568	453	291	164
images/f2d6aba7-3326-48a5-aa00-932ac2028a56--ru.21f66294-bfe8-452d-8dfc-b002b5225e94.jpg	4607051158269	122	620	851	395
images/93675816-2c92-4c02-bfdd-ea8b4620e1bb--ru.49e1771b-fca2-46a2-8808-c3f1e5bf36ef.jpg	4607001770138	153	413	528	259
images/61f400e4-5f7e-4906-bef4-6b4d53b78965--ru.be2dba31-a08c-4fb7-9313-a054a2f882ab.jpg	4607045852562	354	533	347	177
images/5f625b96-67ae-4000-9d1c-840f720e2897--ru.c5374577-05a3-457f-8c58-b5258c23e959.jpg	4630007400419	1107	784	1796	904
images/6759f170-9d2c-440a-9202-70dd46668b49--ru.9e61a98d-97cc-4981-8fca-7ba7206bc70e.jpg	3582910075004	258	688	708	453
images/e691c8b4-d555-48d8-aaea-988beda82196--ru.968ea4c4-214f-4e51-885e-608c5f0f6733.jpg	8594749227040	717	1095	1204	695
images/55463dcd-2988-4d5f-82f0-ea25bb46e8b9--ru.b39a77f5-76be-4d4f-af10-aadf45b3b03a.jpg	2000004484316	139	564	624	325
images/922f98fe-b9cc-48d5-9152-9abe25d44e81--ru.608f951d-2a90-4a55-bb1b-1e558a349330.jpg	4601313011149	282	718	587	228
images/bab68e4e-9473-42fb-9a24-59e6fd3c1b1b--ru.ff9e8d76-6895-4d59-9e14-8bd8c84bd470.jpg	4600680008684	299	651	272	130
images/d05d50c0-0c19-4ca4-88ff-6f7058318a7f--ru.fb097934-ebc8-4b94-be1c-e3720092b0d6.jpg	4602009309403	516	694	325	156
images/cd373038-fad7-4f66-9c3b-9e156412dcfe--ru.b7312fea-1c77-4302-80d7-bd6c0fb8fe34.jpg	4607042438998	120	534	809	359
images/de42cb7e-e3d4-4442-bd0e-f9d2f604d010--ru.713ce406-032d-4d9d-95a4-37b37886f83d.jpg	2000098982422	47	720	759	368
